City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,namibe,-15.1961,12.1522,296.34,79,36,3.81,AO,1682626044
294,khark,29.2614,50.3306,297.98,72,0,4.08,IR,1682626045
295,puerto palomas,31.7667,-107.6167,299.02,9,0,4.56,MX,1682626047
296,babayevo,59.3936,35.9371,282.58,81,50,4.67,RU,1682626047
297,vorgashor,67.5833,63.95,264.24,92,15,5.18,RU,1682626049
298,champoton,19.35,-90.7167,309.55,41,100,1.48,MX,1682626049
299,halifax,44.6453,-63.5724,282.97,87,75,5.14,CA,1682625984
300,hovd,48.0056,91.6419,274.64,46,34,0.7,MN,1682626050
301,dalbandin,28.8947,64.4101,297.61,30,26,3.55,PK,1682626051
302,tete,-16.1564,33.5867,293.8,79,64,1.42,MZ,1682626052
303,caohe,30.2297,115.4335,290.78,82,59,2.11,CN,1682626053
304,santiago de cuba,20.0247,-75.8219,303.21,62,40,3.09,CU,1682626053
305,smirnykh,49.75,142.8333,273.22,81,100,1.7,RU,1682626054
306,port shepstone,-30.7414,30.455,295.77,85,70,11.06,ZA,1682626057
307,remire-montjoly,4.9167,-52.2667,300.17,89,0,1.54,GF,1682626058
308,erdenet,49.0333,104.0833,269.01,63,3,1.04,MN,1682626060
309,nemuro,43.3236,145.575,278.37,67,18,6.77,JP,1682626060
310,salinas,36.6777,-121.6555,305.93,48,0,4.63,US,1682625990
311,urangan,-25.3,152.9,294.34,76,1,5.75,AU,1682626061
312,bengkulu,-3.8004,102.2655,297.58,93,100,1.51,ID,1682626061
313,tamandare,-8.7597,-35.1047,299.84,80,100,2.62,BR,1682626062
314,dudinka,69.4058,86.1778,261.83,100,99,1.38,RU,1682625836
315,labytnangi,66.6572,66.4183,267.9,82,100,6.68,RU,1682625965
316,mponela,-13.5319,33.7401,287.89,85,66,2.65,MW,1682626063
317,tucuma,-0.1833,-50.05,297.27,94,100,2.61,BR,1682625828
318,zabaykal'sk,49.6333,117.3167,273.83,52,95,2.32,RU,1682626063
319,greenville,35.6127,-77.3663,292.24,93,100,2.06,US,1682626064
320,ulladulla,-35.35,150.4667,287.61,65,0,2.58,AU,1682626064
321,abepura,-2.6333,140.5833,298.6,89,20,1.03,ID,1682626064
322,fale old settlement,-9.3852,-171.2468,301.61,74,100,5.17,TK,1682626065
323,howard springs,-12.497,131.047,299.1,83,88,2.53,AU,1682626065
324,taksimo,56.3444,114.8794,270.35,74,63,0.35,RU,1682626065
325,dwarka,22.2394,68.9678,299.92,77,6,5.83,IN,1682626065
326,conception bay south,47.4999,-52.9981,279.01,82,13,6.02,CA,1682626066
327,morant bay,17.8815,-76.4093,302.43,63,84,4.67,JM,1682626066
328,richards bay,-28.783,32.0377,297.23,75,26,4.88,ZA,1682626066
329,puerto cabezas,14.0351,-83.3888,303.13,74,40,2.06,NI,1682626066
330,road town,18.4167,-64.6167,302.2,74,20,3.09,VG,1682626067
331,pisco,-13.7,-76.2167,299.18,65,0,8.75,PE,1682626009
332,tir pul,34.5943,61.269,293.85,16,33,4.46,AF,1682626067
333,igbara-odo,7.5025,5.0626,295.99,91,100,0.84,NG,1682626067
334,chernyshevskiy,63.0128,112.4714,269.13,98,100,1.17,RU,1682626068
335,manismata,-2.4667,111.0333,296.43,99,100,0.2,ID,1682626047
336,hithadhoo,-0.6,73.0833,301.62,77,99,3.73,MV,1682626069
337,horta,38.5333,-28.6333,289.95,87,40,9.39,PT,1682626069
338,sumbawa besar,-8.5,117.4333,296.79,94,98,1.18,ID,1682626069
339,daru,-9.0763,143.2092,299.27,85,87,5.08,PG,1682626070
340,maceio,-9.6658,-35.7353,300.84,83,40,4.12,BR,1682625835
341,faya-largeau,17.9257,19.1043,305.6,10,52,4.89,TD,1682625900
342,val-d'or,48.1002,-77.7828,280.49,60,100,3.18,CA,1682626011
343,hohhot,40.8106,111.6522,280.41,61,2,2.64,CN,1682626070
344,la passe,45.5549,-0.8967,292.28,89,96,2.2,FR,1682626071
345,sarila,25.7667,79.6833,303.63,23,97,3.13,IN,1682626071
346,puerto san jose,13.9256,-90.8244,303.99,60,65,5.35,GT,1682626071
347,karasburg,-28.0167,18.75,290.39,29,5,2.73,NA,1682626071
348,karratha,-20.7377,116.8463,299.45,56,98,1.35,AU,1682625807
349,wajir,1.7471,40.0573,300.49,68,99,6.12,KE,1682626072
350,aasiaat,68.7098,-52.8699,272.04,84,29,2.59,GL,1682625975
351,mirnyy,62.5353,113.9611,267.82,98,99,1.57,RU,1682625999
352,francisco i. madero,29.7059,-107.8043,296.5,10,0,1.59,MX,1682626072
353,qina,26.1642,32.7267,301.34,18,0,4.07,EG,1682626073
354,pathein,16.7833,94.7333,298.9,81,0,2.44,MM,1682626073
355,dzhambeyty,50.2536,52.595,287.68,67,5,3.79,KZ,1682626073
356,chipinge,-20.1883,32.6236,287.74,91,2,2.11,ZW,1682626073
357,ronneburg,50.8667,12.1833,281.16,69,100,3.12,DE,1682626074
358,kyshtovka,56.555,76.6271,287.16,53,100,3.55,RU,1682626074
359,berasia,23.6333,77.4333,300.5,39,100,2.57,IN,1682626074
360,rabaul,-4.1967,152.1721,299.53,81,23,1.63,PG,1682626036
361,kiunga,-6.1219,141.2906,295.95,99,98,0.79,PG,1682626074
362,hard bargain,26.3167,-77.5667,298.13,75,7,5.49,BS,1682626075
363,gwaram,11.2764,9.8858,302.25,38,94,3.92,NG,1682626075
364,raichur,16.2,77.3667,301.37,59,0,4.66,IN,1682626076
